ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,Total Credits,CGPA,Supplementary Appearances
24031A0436,0.0,11.5,0.0,10.5,0.0,14.0,36.0,0.0,*
24031A0437,7.37,20.5,6.62,19.5,7.65,20.0,60.0,7.22,*
24031A0438,9.22,20.5,9.18,19.5,9.55,20.0,60.0,9.32,
24031A0439,7.17,20.5,0.0,13.5,6.78,20.0,54.0,0.0,
24031A0440,6.98,20.5,6.62,19.5,6.38,20.0,60.0,6.66,
24031A0441,9.29,20.5,8.9,19.5,8.57,20.0,60.0,8.92,
24031A0442,7.05,20.5,7.18,19.5,7.68,20.0,60.0,7.3,
24031A0443,6.78,20.5,0.0,16.5,0.0,17.0,54.0,0.0,*
24031A0444,6.49,20.5,7.85,19.5,7.2,20.0,60.0,7.17,*
24031A0445,7.9,20.5,7.0,19.5,7.88,20.0,60.0,7.6,
24031A0446,8.22,20.5,8.64,19.5,9.02,20.0,60.0,8.62,
24031A0447,7.37,20.5,6.92,19.5,0.0,17.0,57.0,0.0,
24031A0448,6.85,20.5,8.21,19.5,7.22,20.0,60.0,7.42,
24031A0449,8.93,20.5,8.23,19.5,8.7,20.0,60.0,8.63,
24031A0450,6.66,20.5,7.49,19.5,7.65,20.0,60.0,7.26,*
24031A0451,6.61,20.5,0.0,16.5,6.72,20.0,57.0,0.0,*
24031A0452,6.54,20.5,0.0,13.5,6.68,20.0,54.0,0.0,*
24031A0453,7.68,20.5,7.08,19.5,7.38,20.0,60.0,7.39,*
24031A0454,8.0,20.5,8.26,19.5,8.72,20.0,60.0,8.32,
24031A0455,0.0,17.5,5.62,19.5,6.52,20.0,57.0,0.0,*
24031A0456,7.15,20.5,7.51,19.5,6.82,20.0,60.0,7.16,
24031A0457,8.8,20.5,8.0,19.5,7.9,20.0,60.0,8.24,
24031A0458,0.0,17.5,0.0,9.5,6.3,20.0,47.0,0.0,
24031A0459,7.29,20.5,7.26,19.5,7.98,20.0,60.0,7.51,
24031A0501,6.44,19.5,7.83,20.5,7.3,20.0,60.0,7.2,
24031A0502,6.62,19.5,6.9,20.5,0.0,17.0,57.0,0.0,*
24031A0503,0.0,15.5,6.61,20.5,0.0,17.0,53.0,0.0,*
24031A0504,7.77,19.5,0.0,17.5,7.45,20.0,57.0,0.0,
24031A0505,7.31,19.5,0.0,17.5,0.0,14.0,51.0,0.0,
24031A0506,6.33,19.5,0.0,17.5,7.5,20.0,57.0,0.0,*
24031A0507,7.41,19.5,7.73,20.5,8.12,20.0,60.0,7.76,*
24031A0508,7.46,19.5,7.95,20.5,7.75,20.0,60.0,7.72,
24031A0509,7.69,19.5,0.0,17.5,6.85,20.0,57.0,0.0,
24031A0510,7.87,19.5,7.41,20.5,0.0,17.0,57.0,0.0,
24031A0511,0.0,16.5,7.63,20.5,7.98,20.0,57.0,0.0,*
24031A0512,7.49,19.5,7.85,20.5,7.6,20.0,60.0,7.65,
24031A0513,8.33,19.5,8.71,20.5,8.35,20.0,60.0,8.47,
24031A0514,7.79,19.5,8.41,20.5,0.0,17.0,57.0,0.0,
24031A0515,8.49,19.5,9.22,20.5,8.05,20.0,60.0,8.59,
24031A0517,7.59,19.5,7.34,20.5,7.08,20.0,60.0,7.33,
24031A0518,7.97,19.5,8.29,20.5,7.9,20.0,60.0,8.06,
24031A0519,0.0,16.5,7.8,20.5,0.0,17.0,54.0,0.0,*
24031A0520,8.13,19.5,7.49,20.5,7.08,20.0,60.0,7.56,*
24031A0521,8.87,19.5,9.32,20.5,8.57,20.0,60.0,8.92,
24031A0522,7.36,19.5,7.8,20.5,8.12,20.0,60.0,7.76,
24031A0523,7.23,19.5,8.27,20.5,8.05,20.0,60.0,7.86,
24031A0524,0.0,16.5,0.0,15.5,7.98,20.0,52.0,0.0,
24031A0525,7.64,19.5,8.05,20.5,7.22,20.0,60.0,7.64,*
24031A0526,7.87,19.5,7.61,20.5,8.12,20.0,60.0,7.86,
