ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,3-2,Credits_3-2,4-1,Credits_4-1,4-2,Credits_4-2,Total Credits,CGPA,Supplementary Appearances
25031A0229,0.0,16.5,,,,,,,,,,,,,,,16.5,0.0,
25031A0230,0.0,13.5,,,,,,,,,,,,,,,13.5,0.0,
25031A0231,0.0,6.5,,,,,,,,,,,,,,,6.5,0.0,
25031A0232,6.85,19.5,,,,,,,,,,,,,,,19.5,6.85,
25031A0233,0.0,13.5,,,,,,,,,,,,,,,13.5,0.0,
25031A0234,0.0,10.5,,,,,,,,,,,,,,,10.5,0.0,
25031A0235,7.41,19.5,,,,,,,,,,,,,,,19.5,7.41,
25031A0236,0.0,18.5,,,,,,,,,,,,,,,18.5,0.0,
25031A0237,7.21,19.5,,,,,,,,,,,,,,,19.5,7.21,
25031A0238,0.0,10.5,,,,,,,,,,,,,,,10.5,0.0,
25031A0239,0.0,6.5,,,,,,,,,,,,,,,6.5,0.0,
25031A0240,0.0,7.5,,,,,,,,,,,,,,,7.5,0.0,
25031A0241,7.51,19.5,,,,,,,,,,,,,,,19.5,7.51,
25031A0242,7.95,19.5,,,,,,,,,,,,,,,19.5,7.95,
25031A0243,8.31,19.5,,,,,,,,,,,,,,,19.5,8.31,
25031A0244,0.0,5.5,,,,,,,,,,,,,,,5.5,0.0,
25031A0301,0.0,17.5,,,,,,,,,,,,,,,17.5,0.0,
25031A0302,7.24,20.5,,,,,,,,,,,,,,,20.5,7.24,
25031A0303,0.0,14.5,,,,,,,,,,,,,,,14.5,0.0,
25031A0305,0.0,11.5,,,,,,,,,,,,,,,11.5,0.0,
25031A0306,6.9,20.5,,,,,,,,,,,,,,,20.5,6.9,
25031A0307,7.07,20.5,,,,,,,,,,,,,,,20.5,7.07,
25031A0308,0.0,8.5,,,,,,,,,,,,,,,8.5,0.0,
25031A0309,0.0,4.0,,,,,,,,,,,,,,,4.0,0.0,
25031A0310,0.0,8.5,,,,,,,,,,,,,,,8.5,0.0,
25031A0312,0.0,11.5,,,,,,,,,,,,,,,11.5,0.0,
25031A0313,0.0,14.5,,,,,,,,,,,,,,,14.5,0.0,
25031A0314,0.0,17.5,,,,,,,,,,,,,,,17.5,0.0,
25031A0315,0.0,4.0,,,,,,,,,,,,,,,4.0,0.0,
25031A0316,0.0,17.5,,,,,,,,,,,,,,,17.5,0.0,
25031A0317,0.0,17.5,,,,,,,,,,,,,,,17.5,0.0,
25031A0319,0.0,7.0,,,,,,,,,,,,,,,7.0,0.0,
25031A0320,7.46,20.5,,,,,,,,,,,,,,,20.5,7.46,
25031A0321,0.0,4.0,,,,,,,,,,,,,,,4.0,0.0,
25031A0322,7.66,20.5,,,,,,,,,,,,,,,20.5,7.66,
25031A0323,0.0,14.5,,,,,,,,,,,,,,,14.5,0.0,
25031A0324,6.98,20.5,,,,,,,,,,,,,,,20.5,6.98,
25031A0325,0.0,14.5,,,,,,,,,,,,,,,14.5,0.0,
25031A0326,0.0,14.5,,,,,,,,,,,,,,,14.5,0.0,
25031A0327,0.0,11.5,,,,,,,,,,,,,,,11.5,0.0,
25031A0401,7.59,20.5,,,,,,,,,,,,,,,20.5,7.59,
25031A0402,7.15,20.5,,,,,,,,,,,,,,,20.5,7.15,
25031A0403,0.0,17.5,,,,,,,,,,,,,,,17.5,0.0,
25031A0404,6.76,20.5,,,,,,,,,,,,,,,20.5,6.76,
25031A0405,8.68,20.5,,,,,,,,,,,,,,,20.5,8.68,
25031A0406,7.63,20.5,,,,,,,,,,,,,,,20.5,7.63,
